Order ID,Order Date,Ship Mode,Segment,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
CA-2018-10860,2020-09-03,Standard Class,Corporate,Texas,West,Furniture,Tables,1119.54,8,0.49,-472.82
CA-2017-86820,2017-02-19,Standard Class,Corporate,Illinois,West,Furniture,Paper,2728.49,6,0.13,246.78
CA-2016-92386,2022-03-19,Standard Class,Corporate,Ohio,West,Technology,Binders,711.52,3,0.24,-13.04
CA-2017-97498,2021-02-21,First Class,Consumer,Illinois,South,Furniture,Copiers,4349.75,9,0.25,115.12
CA-2019-54131,2017-01-19,Same Day,Home Office,Texas,West,Furniture,Accessories,3382.7,8,0.12,78.59
CA-2017-77221,2018-12-27,Second Class,Home Office,Florida,South,Technology,Copiers,4968.24,9,0.3,-515.56
CA-2019-10769,2017-07-16,Standard Class,Home Office,Florida,Central,Technology,Copiers,469.57,5,0.22,-78.4
CA-2018-74925,2022-03-30,Same Day,Consumer,New York,South,Technology,Accessories,1210.96,3,0.22,-105.33
CA-2016-15311,2021-01-13,Second Class,Home Office,Ohio,South,Technology,Paper,4387.02,4,0.18,-502.05
CA-2018-93104,2018-07-13,Second Class,Consumer,Ohio,East,Office Supplies,Accessories,1982.32,5,0.01,337.92
CA-2018-95305,2021-08-30,Second Class,Corporate,Ohio,West,Office Supplies,Tables,2336.85,9,0.26,-13.18
CA-2019-35658,2018-03-28,Same Day,Corporate,California,West,Office Supplies,Copiers,4304.65,9,0.17,-294.39
CA-2016-28431,2017-10-16,Same Day,Home Office,Florida,West,Furniture,Paper,2613.9,3,0.0,475.36
CA-2018-12747,2020-03-10,First Class,Consumer,Texas,West,Technology,Copiers,975.44,7,0.15,-47.79
CA-2017-77435,2020-01-13,Same Day,Corporate,Florida,East,Technology,Accessories,4461.23,6,0.14,-266.91
CA-2018-41551,2021-09-14,Same Day,Consumer,Illinois,East,Office Supplies,Paper,165.0,4,0.2,-3.67
CA-2015-21394,2018-01-26,Same Day,Consumer,California,East,Furniture,Paper,4478.03,5,0.07,-0.95
CA-2019-13890,2021-06-03,Second Class,Corporate,Ohio,East,Furniture,Chairs,262.1,2,0.25,-13.93
CA-2019-90038,2017-08-03,Standard Class,Consumer,Washington,West,Furniture,Chairs,3332.59,7,0.35,-973.67
CA-2016-20627,2021-03-30,First Class,Corporate,New York,South,Office Supplies,Chairs,367.68,4,0.32,-89.46
CA-2015-83969,2017-08-03,Standard Class,Corporate,California,Central,Furniture,Accessories,3534.0,2,0.4,-750.98
